PID_79,HHID_79,core_sample,sample_wgts,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_Adj,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79
8221,8221,0,,3,59,1,0,0,1,0,0,0,47.603001,13,394,12,12,,8,6778.9429,20579.582,18888.393,10740.677,37801.68,5758.521,0,0,,,,,,,,,,,,,,25,52,45,27,52,22,0,0,,,,,,,,,,,,,,0,0,0,1
8222,8222,0,,4,58,1,1,0,1,0,0,0,60.537998,7,569,11,11,16,16,0,14396.95,24118.379,24504.955,24057.785,31556.695,15483.267,18117.992,,,,,,,,,,,,,,5,45,52,52,52,52,52,51,,,,,,,,,,,,,,0,0,0,1
8223,8223,0,,2,58,1,1,0,1,1,0,0,39.063,7,647,13,13,12,16,0,0,0,0,99478.102,191952.63,1043328.8,1055.1096,,,,,,,,,,,,,,52,52,52,52,52,52,52,52,,,,,,,,,,,,,,0,0,0,1
8224,8224,1,106788,4,57,1,1,0,0,1,0,1,26.931999,4,557,12,12,,16,55361.367,56922.25,16789.682,24318.514,55707.738,67182.75,58983.871,56272.516,61729.703,59236.945,59060.07,55834.41,52940.105,,,,,156312.55,62890.051,0,46531.227,52,44,43,52,52,52,52,52,52,52,52,52,52,,,,,52,52,52,52,0,0,0,1
8225,8225,1,90509,1,61,1,0,0,0,1,1,0,52.141998,6,562,13,13,16,,,0,0,,,,0,,,0,21758.973,55834.41,,,61516.398,,,,,,,,0,0,,,,0,,,0,25,52,,,52,,,,,,,0,0,0,1
8226,8226,1,94689,4,59,1,1,0,0,0,1,0,91.372002,5,529,16,16,12,14,49712.25,67212.039,72405.508,79035.164,87540.727,92136.336,87622.383,105510.97,106775.7,104064.91,124336.99,117704.97,111603.46,98498.813,117797.36,123125.91,148135.88,133982.19,138820.84,131115.95,116328.07,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,0,0,0,1
8227,8226,1,85069,12,61,1,1,0,1,0,1,0,81.523003,10,533,15,15,12,14,,,18888.393,16212.342,33822.555,46068.168,53454.133,47479.934,48382.738,32019.971,38855.309,48289.219,34339.527,33965.109,13088.596,39400.293,41478.043,41311.172,44170.27,30492.082,45561.828,,,52,52,52,52,52,52,52,51,52,52,52,52,18,52,52,52,52,52,52,0,0,0,1
8228,8226,1,78852,3,63,1,1,0,1,1,1,0,79.300003,10,482,12,12,12,14,,,,72955.539,71624.234,72941.266,62670.363,66823.609,63398.07,67241.938,62168.496,72433.828,80125.563,70647.43,98164.469,86188.141,71105.219,66991.094,71513.766,35574.098,48470.031,,,,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,0,0,0,1
8229,8226,1,120755,6,64,1,1,0,1,1,1,0,38.025002,9,428,11,11,15,14,,,,,,55665.703,58983.871,56272.516,83418.516,80049.93,108794.87,90542.281,100156.95,0,259311.25,147751.09,142210.44,312419.66,323729.16,142296.39,96940.063,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,0,1
8230,8230,1,102637,3,57,1,1,0,0,1,1,0,,9,338,4,4,0,0,0,3211.7285,,3378.2468,397.91241,,0,0,3336.7407,0,1554.2124,22635.57,,,,,,,,,,52,51,43,18,36,,52,50,52,52,52,52,,,,,,,,,,0,0,0,1
8231,8230,1,82390,5,60,1,1,0,0,1,1,0,,11,519,3,3,,,3389.4714,8214.3184,3148.0654,5066.3569,0,8438.1533,0,12309.613,17851.563,28817.973,0,27162.686,,,,,,,,,,49,51,48,52,52,49,52,38,52,52,52,41,,,,,,,,,,0,0,0,1
8232,8232,1,92171,5,59,1,1,0,0,1,1,0,,7,546,,3,4,,13557.886,19703.855,,,,19195.07,20275.705,19343.678,18352.074,17610.984,18650.549,21126.533,19315.984,20379.064,0,20931.406,22516.652,20655.586,21033.461,19311.652,17449.211,52,52,,,,0,9,52,35,52,52,52,52,52,52,52,52,52,52,52,52,0,0,0,1
8233,8233,1,124894,7,64,1,1,0,0,1,1,0,8.5120001,10,413,12,12,6,6,,,,,,34551.125,38708.164,26377.742,20020.443,28817.973,26421.611,30180.762,34339.527,28530.691,39265.785,46787.848,41478.043,40194.656,52583.652,0,,,,,,,52,52,45,31,51,47,52,52,52,52,50,50,50,52,0,,0,0,0,1
8234,8234,0,,2,63,1,1,0,1,1,0,0,,10,412,,4,8,3,,,,0,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,0,0,0,1
8235,8235,1,116364,2,58,1,1,0,1,0,1,0,70.174004,7,438,13,13,16,12,22596.477,35029.078,31002.148,34451.227,31832.992,36470.633,40551.41,40445.871,40040.887,35221.969,27975.822,25653.646,0,4755.1152,8507.5869,24625.184,,26796.436,32601.865,30492.082,38776.023,41,52,49,52,52,52,52,52,52,38,46,19,0,13,22,52,52,52,52,36,52,0,0,0,1
8236,8235,1,97932,5,59,1,1,0,1,1,1,0,76.108002,7,476,20,17,16,0,0,0,0,0,0,26873.098,60827.117,63306.582,,,,,,,259311.25,290577.16,315153.72,145147.36,134614.16,142296.39,164798.09,0,0,0,0,0,25,52,52,,,,,,,52,52,52,52,52,52,52,,,,
8237,8235,1,102601,8,60,1,1,0,1,0,1,0,88.226997,6,606,18,18,16,12,,12916.972,1259.2262,12159.257,51728.613,57585.211,58983.871,75616.195,85086.883,89655.914,93252.742,67906.711,28616.273,0,0,0,0,0,0,0,0,,41,32,19,51,52,52,52,52,52,52,41,30,0,0,0,0,0,0,0,0,0,0,0,1
8238,8238,1,96166,10,61,1,1,0,1,1,1,0,43.497002,12,502,14,13,14,11,,,10073.81,18238.885,35613.16,41269.402,45712.5,36928.84,38372.516,35221.969,65276.922,64888.637,46787.605,57061.383,37956.926,53806.027,42663.129,122817,40489.414,39527.902,40714.824,,,40,51,48,52,52,28,47,52,49,52,50,52,51,52,52,46,52,52,52,0,0,0,1
8239,8239,1,77111,9,62,1,1,0,1,1,0,1,48.186001,10,534,13,13,14,12,,,,0,0,15356.057,27648.689,47479.934,61729.703,62438.941,54397.434,52816.332,42924.41,48909.758,40574.645,48019.109,48588.566,61408.5,66255.406,63016.973,0,,,,0,0,50,41,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,0,0,1
8240,8240,1,102485,2,64,1,1,0,1,1,0,1,16.976999,7,491,12,12,8,12,,,,,7958.248,28792.605,,,,56034.949,59060.07,,,,,,,,0,,,,,,,26,35,52,52,52,52,52,52,52,52,,,0,29,52,52,52,0,0,0,1
8241,8240,1,77111,3,62,1,0,0,1,1,0,1,44.250999,6,647,12,12,8,12,,,46171.625,40530.855,43770.363,36470.633,40551.41,43962.902,75076.664,,,67906.711,,61137.195,,,,,,,,,,52,52,52,52,52,52,52,,,52,,52,,,,,,,,0,0,0,1
8242,8242,0,,8,59,0,1,0,1,1,0,0,50.324001,5,584,12,12,11,,13557.886,19703.855,50369.047,60188.32,59686.859,57585.211,55297.379,82650.258,,,,,,,,,,,,,,27,31,52,51,48,51,43,52,,,,,,,,,,,,,,0,0,0,1
